Ax,Ay,Az,Gx,Gy,Gz,Label
-0.012,-0.024,1.017,0.175,-2.056,0.070,Idle
-0.012,-0.024,1.020,0.157,-2.021,0.079,Idle
-0.012,-0.023,1.018,0.192,-2.056,0.079,Idle
-0.013,-0.024,1.019,0.184,-2.030,0.052,Idle
-0.013,-0.024,1.019,0.184,-2.021,0.061,Idle
-0.012,-0.023,1.018,0.201,-2.030,0.079,Idle
-0.011,-0.024,1.018,0.201,-2.021,0.096,Idle
-0.014,-0.025,1.017,0.157,-2.004,0.070,Idle
-0.012,-0.024,1.018,0.184,-2.039,0.123,Idle
-0.012,-0.025,1.018,0.201,-2.021,0.123,Idle
-0.011,-0.024,1.018,0.236,-1.995,0.087,Idle
-0.012,-0.023,1.018,0.131,-1.995,0.087,Idle
-0.012,-0.024,1.017,0.219,-2.030,0.070,Idle
-0.012,-0.024,1.018,0.192,-2.047,0.087,Idle
-0.012,-0.023,1.019,0.219,-2.021,0.070,Idle
-0.012,-0.024,1.018,0.219,-2.039,0.114,Idle
-0.011,-0.024,1.019,0.149,-2.030,0.114,Idle
-0.012,-0.024,1.018,0.175,-2.030,0.052,Idle
-0.012,-0.024,1.019,0.175,-2.047,0.105,Idle
-0.012,-0.024,1.019,0.157,-2.030,0.070,Idle
-0.010,-0.024,1.018,0.184,-2.021,0.079,Idle
-0.013,-0.024,1.018,0.201,-2.030,0.087,Idle
-0.012,-0.024,1.018,0.157,-2.021,0.079,Idle
-0.012,-0.023,1.019,0.175,-1.995,0.114,Idle
-0.012,-0.023,1.018,0.166,-2.030,0.035,Idle
-0.013,-0.024,1.019,0.210,-2.004,0.114,Idle
-0.013,-0.023,1.018,0.157,-2.056,0.105,Idle
-0.012,-0.023,1.019,0.157,-2.039,0.079,Idle
-0.012,-0.024,1.018,0.201,-2.047,0.114,Idle
-0.012,-0.024,1.019,0.201,-2.047,0.096,Idle
-0.013,-0.024,1.017,0.149,-2.030,0.114,Idle
-0.012,-0.024,1.018,0.192,-2.021,0.105,Idle
-0.012,-0.025,1.019,0.236,-2.021,0.052,Idle
-0.012,-0.024,1.018,0.192,-2.039,0.079,Idle
-0.012,-0.023,1.018,0.210,-2.039,0.087,Idle
-0.012,-0.024,1.017,0.140,-2.039,0.131,Idle
-0.013,-0.023,1.018,0.192,-1.986,0.061,Idle
-0.013,-0.025,1.018,0.201,-2.004,0.105,Idle
-0.013,-0.024,1.017,0.192,-2.013,0.061,Idle
-0.012,-0.023,1.017,0.166,-2.004,0.123,Idle
-0.012,-0.024,1.018,0.210,-2.021,0.070,Idle
-0.012,-0.024,1.016,0.184,-2.039,0.096,Idle
-0.012,-0.024,1.019,0.228,-2.013,0.105,Idle
-0.012,-0.024,1.018,0.184,-2.039,0.123,Idle
-0.013,-0.023,1.019,0.184,-2.047,0.105,Idle
-0.012,-0.024,1.018,0.201,-1.995,0.096,Idle
-0.012,-0.024,1.018,0.166,-2.030,0.079,Idle
-0.013,-0.023,1.018,0.201,-2.030,0.061,Idle
-0.012,-0.024,1.018,0.175,-2.013,0.114,Idle
-0.012,-0.024,1.017,0.184,-1.995,0.114,Idle
-0.012,-0.024,1.018,0.184,-2.013,0.087,Idle
-0.012,-0.024,1.016,0.175,-2.039,0.087,Idle
-0.012,-0.024,1.020,0.192,-1.995,0.070,Idle
-0.013,-0.023,1.019,0.175,-1.995,0.079,Idle
-0.013,-0.026,1.016,0.166,-2.004,0.096,Idle
-0.013,-0.025,1.015,0.210,-2.013,0.114,Idle
-0.013,-0.025,1.017,0.166,-1.995,0.105,Idle
-0.013,-0.025,1.016,0.184,-1.977,0.096,Idle
-0.013,-0.025,1.017,0.201,-2.039,0.052,Idle
-0.012,-0.024,1.018,0.201,-2.004,0.087,Idle
-0.012,-0.024,1.019,0.201,-2.056,0.087,Idle
-0.011,-0.023,1.020,0.166,-2.047,0.096,Idle
-0.012,-0.024,1.019,0.175,-2.030,0.079,Idle
-0.012,-0.024,1.020,0.210,-2.021,0.079,Idle
-0.012,-0.024,1.017,0.192,-1.995,0.061,Idle
-0.012,-0.024,1.017,0.184,-2.013,0.114,Idle
-0.012,-0.024,1.018,0.201,-2.004,0.096,Idle
-0.011,-0.024,1.019,0.236,-2.004,0.087,Idle
-0.012,-0.025,1.018,0.192,-2.021,0.087,Idle
-0.012,-0.024,1.019,0.192,-1.995,0.087,Idle
-0.013,-0.024,1.018,0.184,-2.021,0.105,Idle
-0.012,-0.024,1.017,0.201,-2.021,0.105,Idle
-0.012,-0.024,1.016,0.201,-2.030,0.087,Idle
-0.013,-0.024,1.017,0.149,-1.995,0.149,Idle
-0.013,-0.024,1.020,0.201,-2.056,0.087,Idle
-0.012,-0.024,1.019,0.228,-2.047,0.123,Idle
-0.012,-0.023,1.019,0.157,-2.030,0.131,Idle
-0.011,-0.023,1.019,0.201,-2.013,0.096,Idle
-0.011,-0.023,1.020,0.201,-2.021,0.087,Idle
-0.012,-0.023,1.020,0.219,-2.021,0.061,Idle
-0.012,-0.023,1.018,0.192,-1.986,0.061,Idle
-0.012,-0.025,1.017,0.175,-2.004,0.070,Idle
-0.012,-0.024,1.019,0.149,-2.039,0.114,Idle
-0.013,-0.024,1.018,0.192,-2.021,0.087,Idle
-0.011,-0.023,1.020,0.210,-2.047,0.114,Idle
-0.012,-0.024,1.018,0.166,-2.004,0.131,Idle
-0.012,-0.025,1.016,0.201,-2.030,0.079,Idle
-0.012,-0.024,1.020,0.192,-2.013,0.061,Idle
-0.012,-0.024,1.018,0.219,-2.030,0.114,Idle
-0.011,-0.024,1.018,0.219,-2.013,0.096,Idle
-0.012,-0.024,1.019,0.157,-2.021,0.070,Idle
-0.013,-0.023,1.019,0.228,-1.995,0.044,Idle
-0.012,-0.024,1.019,0.184,-2.013,0.105,Idle
-0.011,-0.023,1.019,0.201,-2.039,0.079,Idle
-0.012,-0.024,1.018,0.201,-2.004,0.131,Idle
-0.012,-0.024,1.019,0.228,-2.056,0.035,Idle
-0.013,-0.024,1.017,0.175,-1.969,0.087,Idle
-0.013,-0.025,1.016,0.192,-1.969,0.087,Idle
-0.012,-0.024,1.019,0.192,-2.030,0.061,Idle
-0.012,-0.024,1.018,0.184,-2.013,0.114,Idle
-0.013,-0.024,1.018,0.201,-2.030,0.079,Idle
-0.012,-0.023,1.020,0.219,-2.030,0.070,Idle
-0.012,-0.023,1.018,0.201,-1.986,0.070,Idle
-0.013,-0.024,1.016,0.184,-2.013,0.070,Idle
-0.013,-0.024,1.017,0.140,-2.039,0.105,Idle
-0.013,-0.024,1.016,0.157,-2.039,0.114,Idle
-0.013,-0.024,1.019,0.192,-2.056,0.114,Idle
-0.012,-0.023,1.019,0.192,-2.013,0.096,Idle
-0.013,-0.024,1.019,0.175,-2.021,0.096,Idle
-0.012,-0.023,1.019,0.149,-2.021,0.061,Idle
-0.012,-0.023,1.017,0.184,-2.056,0.123,Idle
-0.014,-0.024,1.016,0.192,-1.995,0.087,Idle
